AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
"0,564956058","0,334289813","0,473935916",1,1,"0,519368723","0,853180297","0,194165471",1,"0,466284075","0,419894787","0,996652319","0,651362984","0,421807747","0,519368723","0,194165471","0,334289813","0,419894787","0,421807747",1,"0,172166428","0,469631755","0,411764706","0,550932568","0,555236729","0,583452893","0,676709708","0,149210904","0,459110473","0,37780966","0,99904352","0,869918699","0,670970827","0,656623625","0,927785748","0,552845528","0,648971784","0,81348637","0,978479197","0,93448111","0,952654232","0,966044955"
"0,550993308","0,899569584","0,996174079","0,669057867","0,444285031","0,677666188","0,4988044","0,639885222","0,715447154","0,156384505","0,452893352","0,879483501","0,62553802","0,5011956","0,677666188","0,639885222","0,899569584","0,452893352","0,5011956","0,471066475","0,896700143","0,370157819","0,621233859","0,929698709","0,669536107","0,528455285","0,597800096","0,448110952","0,550454328","0,449067432","0,720229555","0,441415591","0,670970827","0,656623625","0,642276423","0,756575801","0,648971784","0,578192253","0,798660928","0,481109517","0,513151602","0,656145385"
"0,817377347","0,726924916","0,918220947","0,346724055","0,538498326","0,18651363","0,140124342","0,270205643","0,801052128","0,49736968","0,401243424","0,635581062","0,511238642","0,419894787","0,18651363","0,270205643","0,726924916","0,401243424","0,419894787","0,471066475","0,576757532","0,945002391","0,942611191","0,286465806","0,306551889","0,321377331","0,732663797","0,31037781","0,459110473","0,284552846","0,378287901","0,441415591","0,670970827","0,656623625","0,642276423","0,552845528","0,648971784","0,578192253","0,524629364","0,368244859","0,267814443","0,18890483"
"0,849978571","0,279770445","0,092300335","0,346724055","0,788139646","0,983261597","0,93926351","0,995217599","0,637494022","0,265901483","0,684361549","0,666188427","0,547584888","0,576757532","0,983261597","0,995217599","0,279770445","0,684361549","0,576757532","0,471066475","0,384505022","0,716881875","0,766618843","0,521281683","0,535628886","0,712099474","0,544715447","0,370636059","0,679100909","0,773792444","0,378287901","0,656145385","0,914395026","0,656623625","0,642276423","0,552845528","0,648971784","0,946915352","0,308943089","0,162601626","0,393591583","0,792922047"
"0,743035748","0,279770445","0,49689144","0,406504065","0,18890483","0,37494022","0,140124342","0,197034912","0,556671449","0,506934481","0,289335246","0,635581062","0,923481588","0,178861789","0,37494022","0,197034912","0,279770445","0,289335246","0,178861789","0,830703013","0,387374462","0,339072214","0,245815399","0,417981827","0,340985175","0,3735055","0,544715447","0,955523673","0,459110473","0,760401722","0,378287901","0,441415591","0,670970827","0,656623625","0,642276423","0,552845528","0,648971784","0,578192253","0,49832616","0,389765662","0,415112386","0,12386418"
"0,173679445","0,833572453","0,992348159","0,667144907","0,953610713","0,272596844","0,988043998","0,194165471","0,580583453","0,156384505","0,210425634","0,975131516","0,348158776","0,178861789","0,272596844","0,194165471","0,833572453","0,210425634","0,178861789","0,471066475","0,970827355","0,896221903","0,93830703","0,880918221","0,720707795","0,81157341","0,613103778","0,114299378","0,842180775","0,284552846","0,87613582","0,988522238","0,991869919","0,656623625","0,642276423","0,558106169","0,648971784","0,62697274","0,308943089","0,148732664","0,151123864","0,932089909"
"0,406826593","0,379244381","0,550454328","0,808225729","0,427068388","0,37398374","0,406025825","0,25155428","0,743663319","0,229076997","0,74844572","0,635581062","0,610712578","0,81396461","0,37398374","0,25155428","0,379244381","0,74844572","0,81396461","0,653275945","0,491152559","0,339072214","0,245815399","0,286465806","0,815877571","0,871353419","0,837876614","0,632711621","0,910090866","0,926351028","0,421329507","0,708273553","0,670970827","0,918220947","0,642276423","0,552845528","0,648971784","0,578192253","0,781922525","0,43567671","0,489239598","0,303204209"
"0,566667887","0,318507891","0,24725012","0,843615495","0,447632712","0,503586801","0,337159254","0,548541368","0,521759923","0,602582496","0,808225729","0,635581062","0,398373984","0,766618843","0,503586801","0,548541368","0,318507891","0,808225729","0,766618843","0,471066475","0,164992826","0,396939264","0,328072692","0,702056432","0,636059302","0,494021999","0,549976088","0,793878527","0,831181253","0,284552846","0,378287901","0,441415591","0,759445242","0,898613104","0,841224295","0,845528455","0,907221425","0,880439981","0,844571975","0,195121951","0,395982783","0,410808226"
"0,735003577","0,279770445","0,092300335","0,346724055","0,18890483","0,25203252","0,471544715","0,194165471","0,521759923","0,384505022","0,210425634","0,635581062","0,254901961","0,237685318","0,25203252","0,194165471","0,279770445","0,210425634","0,237685318","0,738880918","0,164992826","0,480153037","0,245815399","0,509803922","0,442850311","0,321377331","0,544715447","0,578670493","0,459110473","0,284552846","0,378287901","0,681970349","0,670970827","0,656623625","0,642276423","0,552845528","0,729316117","0,639885222","0,356767097","0,413677666","0,43758967","0,013390722"
"0,073396787","0,279770445","0,325203252","0,346724055","0,18890483","0,542324247","0,294117647","0,592061215","0,521759923","0,857962697","0,824485892","0,721186035","0,753706361","0,892395983","0,542324247","0,592061215","0,279770445","0,824485892","0,892395983","0,471066475","0,395982783","0,517934003","0,692491631","0,681013869","0,863701578","0,981348637","0,544715447","0,570540411","0,568627451","0,883787661","0,386896222","0,611190818","0,670970827","0,656623625","0,642276423","0,835963654","0,746532759","0,919655667","0,308943089","0,327594452","0,342898135","0,445241511"
"0,412428324","0,279770445","0,092300335","0,905786705","0,725968436","0,345767575","0,150645624","0,194165471","0,521759923","0,706360593","0,69010043","0,691056911","0,678144429","0,692013391","0,345767575","0,194165471","0,279770445","0,69010043","0,692013391","0,712577714","0,528933525","0,447154472","0,430416069","0,480153037","0,758010521","0,727881396","0,56001913","0,684361549","0,645624103","0,284552846","0,378287901","0,68866571","0,670970827","0,656623625","0,642276423","0,552845528","0,755619321","0,75227164","0,817790531","0,538976566","0,590148254","0,201817312"
"0,736496903","0,523194644","0,645624103","0,81396461","0,862266858","0,452893352","0,807269249","0,469153515","0,521759923","0,621233859","0,210425634","0,635581062","0,388809182","0,178861789","0,452893352","0,469153515","0,523194644","0,210425634","0,178861789","0,471066475","0,881874701","0,782400765","0,760879962","0,631276901","0,479196557","0,722620756","0,544715447","0,981348637","0,93543759","0,976566236","0,912482066","0,81061693","0,983739837","0,803921569","0,961740794","0,987565758","0,971783835","0,81013869","0,308943089","0,62553802","0,537541846","0,933046389"
"0,621960505","0,383070301","0,477283596","0,346724055","0,18890483","0,209469154","0,329507413","0,254423721","0,521759923","0,338593974","0,43519847","0,882352941","0,948828312","0,351506456","0,209469154","0,254423721","0,383070301","0,43519847","0,351506456","0,8747011","0,226207556","0,741272119","0,693926351","0,286465806","0,306551889","0,321377331","0,728837877","0,516499283","0,459110473","0,284552846","0,787183166","0,441415591","0,670970827","0,656623625","0,832137733","0,819703491","0,699186992","0,578192253","0,62266858","0,266379723","0,278813965","0,196078431"
"0,82328831","0,279770445","0,093735055","0,346724055","0,795313247","0,753706361","0,740315638","0,660449546","0,521759923","0,193687231","0,210425634","0,692969871","0,358201817","0,178861789","0,753706361","0,660449546","0,279770445","0,210425634","0,178861789","0,471066475","0,178383549","0,660449546","0,757532281","0,514586322","0,306551889","0,321377331","0,544715447","0,477761836","0,514586322","0,50167384","0,463414634","0,969870875","0,93782879","0,656623625","0,642276423","0,725011956","0,648971784","0,578192253","0,308943089","0,923003348","0,921568627","0,583452893"
"0,416697058","0,279770445","0,166905787","0,346724055","0,343376375","0,968436155","0,634146341","0,960306074","0,521759923","0,351984696","0,976566236","0,635581062","0,879005261","0,989478718","0,968436155","0,960306074","0,279770445","0,976566236","0,989478718","0,617407939","0,579626973","0,339072214","0,37398374","0,43615495","0,869918699","0,963175514","0,544715447","0,199426112","0,459110473","0,923003348","0,378287901","0,441415591","0,670970827","0,656623625","0,890961263","0,953610713","0,81492109","0,578192253","0,879005261","0,611190818","0,668579627","0,901960784"
"0,450109501","0,546150167","0,456241033","0,484935438","0,861788618","0,609756098","0,31420373","0,194165471","0,899569584","0,819703491","0,785270206","0,695361071","0,723098996","0,756097561","0,609756098","0,194165471","0,546150167","0,785270206","0,756097561","0,961740794","0,219033955","0,922525108","0,893352463","0,729316117","0,482065997","0,475848876","0,801052128","0,940698231","0,459110473","0,284552846","0,50215208","0,441415591","0,670970827","0,656623625","0,642276423","0,552845528","0,648971784","0,691056911","0,308943089","0,973218556","0,970827355","0,613582018"
"0,466520926","0,628885701","0,226207556","0,981348637","0,536107126","0,163079866","0,706360593","0,194165471","0,832615973","0,979913917","0,348637016","0,635581062","0,444763271","0,389765662","0,163079866","0,194165471","0,628885701","0,348637016","0,389765662","0,990913439","0,798660928","0,339072214","0,245815399","0,286465806","0,306551889","0,578670493","0,956001913","0,229076997","0,459110473","0,284552846","0,99904352","0,441415591","0,670970827","0,656623625","0,945958871","0,552845528","0,648971784","0,578192253","0,420373027","0,219990435","0,233859397","0,608321377"
"0,571246843","0,895743663","0,940698231","0,346724055","0,18890483","0,163079866","0,420373027","0,231468197","0,521759923","0,292682927","0,721664275","0,635581062","0,229555237","0,656145385","0,163079866","0,231468197","0,895743663","0,721664275","0,656145385","0,508369201","0,164992826","0,727881396","0,69010043","0,286465806","0,556671449","0,521281683","0,544715447","0,226207556","0,459110473","0,504065041","0,378287901","0,441415591","0,670970827","0,656623625","0,642276423","0,552845528","0,648971784","0,578192253","0,631276901","0,852702056","0,879005261","0,138211382"
"0,367340256","0,404591105","0,092300335","0,615973219","0,18890483","0,824964132","0,552845528","0,765662363","0,588713534","0,740315638","0,880918221","0,635581062","0,68866571","0,698708752","0,824964132","0,765662363","0,404591105","0,880918221","0,698708752","0,471066475","0,205643233","0,339072214","0,246771879","0,286465806","0,805834529","0,865614538","0,68866571","0,238163558","0,473457676","0,826398852","0,378287901","0,441415591","0,670970827","0,656623625","0,642276423","0,642754663","0,648971784","0,993304639","0,56527977","0,589670014","0,554280249","0,667144907"
